Address,Bit Index,Type,ID,Type(2),Address(2),Bit(2)
0,0,,,,,
0,1,,,,,
0,2,DGK,97,RGK,7,3
0,3,DGK,99,RGK,7,4
0,4,DGK,100,RGK,7,5
0,5,DGK,123,RGK,7,6
0,6,DGK,140,RGK,7,7
0,7,DGK,142,,,
1,0,DGK,143,,,
1,1,DGK,145,,,
1,2,DGK,147,OFFK,1,3
1,3,OFFK,147,DGK,1,2
1,4,DGK,149,OFFK,1,5
1,5,OFFK,149,DGK,1,4
1,6,DGK,150,OFFK,1,7
1,7,OFFK,150,DGK,1,6
2,0,DGK,152,OFFK,2,1
2,1,OFFK,152,DGK,2,0
2,2,DGK,154,OFFK,2,3
2,3,OFFK,154,DGK,2,2
2,4,DGK,156,OFFK,2,5
2,5,OFFK,156,DGK,2,4
2,6,DGK,158,OFFK,2,7
2,7,OFFK,158,DGK,2,6
3,0,DGK,160,OFFK,3,1
3,1,OFFK,160,DGK,3,0
3,2,DGK,161,OFFK,3,3
3,3,OFFK,161,DGK,3,2
3,4,DGK,162,OFFK,3,5
3,5,OFFK,162,DGK,3,4
3,6,DGK,163,OFFK,3,7
3,7,OFFK,163,DGK,3,6
4,0,DGK,164,OFFK,4,1
4,1,OFFK,164,DGK,4,0
4,2,DGK,175,OFFK,4,3
4,3,OFFK,175,DGK,4,2
4,4,DGK,177,OFFK,4,5
4,5,OFFK,177,DGK,4,4
4,6,DGK,179,OFFK,4,7
4,7,OFFK,179,DGK,4,6
5,0,DGK,181,OFFK,5,1
5,1,OFFK,181,DGK,5,0
5,2,,,,,
5,3,,,,,
5,4,,,,,
5,5,,,,,
5,6,,,,,
5,7,,,,,
6,0,,,,,
6,1,,,,,
6,2,PLACEHOLD,,,,
6,3,,,,,
6,4,,,,,
6,5,,,,,
6,6,,,,,
6,7,PLACEHOLD,,,,
7,0,PLACEHOLD,,,,
7,1,,,,,
7,2,,,,,
7,3,RGK,97,DGK,0,2
7,4,RGK,99,DGK,0,3
7,5,RGK,100,DGK,0,4
7,6,RGK,123,DGK,0,5
7,7,RGK,140,DGK,0,6
8,0,RGK,145,DGK,1,1
8,1,RGK,147,DGK,1,2
8,2,RGK,149,DGK,1,4
8,3,RGK,150,DGK,1,6
8,4,RGK,152,DGK,2,0
8,5,RGK,154,DGK,2,2
8,6,RGK,156,DGK,2,4
8,7,RGK,158,DGK,2,6
9,0,RGK,160,DGK,3,0
9,1,RGK,161,DGK,3,2
9,2,RGK,162,DGK,3,4
9,3,RGK,163,DGK,3,6
9,4,RGK,164,DGK,4,0
9,5,RGK,175,DGK,4,2
9,6,RGK,177,DGK,4,4
9,7,RGK,179,DGK,4,6
10,0,RGK,181,DGK,5,0
10,1,,,,,
10,2,,,,,
10,3,RGK,142,DGK,0,7
10,4,RGK,143,DGK,1,0
10,5,,,,,
10,6,,,,,
10,7,,,,,
11,0,,,,,
11,1,PLACEHOLD,,,,
11,2,PLACEHOLD,,,,
11,3,,,,,
11,4,,,,,
11,5,,,,,
11,6,,,,,
11,7,,,,,
12,0,PLACEHOLD,,,,
12,1,PLACEHOLD,,,,
12,2,NK,1042,,,
12,3,RK,1042,,,
12,4,NK,1043,,,
12,5,RK,1043,,,
12,6,NK,1044,,,
12,7,RK,1044,,,
13,0,NK,1047,,,
13,1,RK,1047,,,
13,2,NK,1050,,,
13,3,RK,1050,,,
13,4,NK,1051,,,
13,5,RK,1051,,,
13,6,NK,1052,,,
13,7,RK,1052,,,
14,0,NK,1053,,,
14,1,RK,1053,,,
14,2,PLACEHOLD,,,,
14,3,PLACEHOLD,,,,
14,4,NK,1056,,,
14,5,RK,1056,,,
14,6,NK,1058,,,
14,7,RK,1058,,,
15,0,NK,1059,,,
15,1,RK,1059,,,
15,2,NK,1060,,,
15,3,RK,1060,,,
15,4,NK,1065,,,
15,5,RK,1065,,,
15,6,NK,1066,,,
15,7,RK,1066,,,
16,0,NK,Crossover 1,,,
16,1,RK,Crossover 1,,,
16,2,NK,Crossover 2,,,
16,3,RK,Crossover 2,,,
16,4,NK,1077,,,
16,5,RK,1077,,,
16,6,NK,1079,,,
16,7,RK,1079,,,
17,0,PLACEHOLD,,,,
17,1,PLACEHOLD,,,,
17,2,T,5528,,,
17,3,T,5529,,,
17,4,T,5559,,,
17,5,T,5558,,,
17,6,T,5530,,,
17,7,T,5554,,,
18,0,T,5560,,,
